PhraseID,NL
SV_5nbGvIjLvUJItjT,
QID316_QuestionText,"<br>➘<span style=""font-size:16px;""><strong><span style=""font-family: Arial; color: rgb(0, 0, 0); white-space: pre-wrap;"">Misschien vindt u het handig om de onderstaande gegevens bij de hand te hebben terwijl u de enquête invult.</span></strong></span><em><span style=""font-size:16px;"">&nbsp;<span style=""color:#996600;"">Mocht u deze gegevens niet hebben, vul dan alsnog de informatie zo goed mogelijk in.</span></span><br>➘&nbsp; </em>➘<table class=""UserTable"">➘	<tbody>➘		<tr>➘			<td><em><span style=""font-size:16px;""><strong><span style=""color:#2980b9;"">Testresultaten</span></strong></span></em></td>➘			<td><em><span style=""font-size:16px;"">Datums, testtype (PCR, antistoffen) en testresultaten</span> <u> <span style=""font-size:14px;"">Als u de precieze datum niet meer weet, is een geschatte datum voldoende.</span> <span style=""font-size:14px;"">Als u een antistoffentest heeft gehad, zullen we naar de fabrikant vragen, maar deze informatie is niet vereist.&nbsp;</span> </u></em></td>➘		</tr>➘		<tr>➘			<td><em><span style=""font-size:16px;""><strong><span style=""color:#2980b9;"">Duur en hevigheid van symptomen</span></strong></span></em></td>➘			<td><em><span style=""font-size:16px;"">Uw symptoom-dagboek</span> <u> <span style=""font-size:14px;"">U wordt gevraagd om symptomen te kiezen die u had <strong>gedurende de eerste 4 weken</strong>, en de daaropvolgende maanden, <strong>tot maand 7</strong>.</span> </u></em></td>➘		</tr>➘		<tr>➘			<td><em><span style=""font-size:16px;""><strong><span style=""color:#2980b9;"">Andere diagnostische tests</span></strong></span></em></td>➘			<td><em><span style=""font-size:16px;"">Uw medische testresultaten</span> <u> <span style=""font-size:14px;"">U zult enkele vragen krijgen over medische tests voor uw fysieke COVID-19 symptomen&nbsp;(bloedtests, MRI/CT scans/röntgenfoto’s, echo, ECGs). Als u deze tests niet heeft, dan is dat geen probleem.&nbsp;</span> </u></em></td>➘		</tr>➘	</tbody>➘</table>➘"
QID431_QuestionText,"<p><span style=""font-size:16px;""><span style=""color:#3498db;"">Onthoud dat u deze enquête op elk moment kunt stoppen en op een later tijdstip kunt hervatten.&nbsp;Vooral als u momenteel symptomen ervaart, raden we aan om pauzes te nemen om mentale inspanning te beperken.&nbsp;</span></span><br>➘&nbsp;</p>➘➘<p><span style=""color:#e67e22;""><span style=""font-size:16px;""><strong>Om terug te keren naar de enquête:</strong></span></span></p>➘➘<ul>➘	<li><span style=""font-size:16px;""><span style=""color:#e67e22;""><strong>Bewaar de link die in uw browser staat om later verder te gaan met de enquête.&nbsp;</strong></span></span></li>➘	<li><span style=""font-size:16px;"">Vul de enquête niet in als u privé- of incognitomodus gebruikt.&nbsp;</span></li>➘	<li><span style=""font-size:16px;"">Wis uw browsers ‘cookies’ niet.</span></li>➘</ul>➘➘<p><span style=""color:#3498db;""><span style=""font-size:16px;"">Uw voortgang wordt <strong>één&nbsp;week</strong>&nbsp;bewaard.&nbsp;</span></span></p>"
QID217_QuestionText,"In welk land woont u op het moment?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID217_Choice1,Afghanistan
QID217_Choice2,Albanië
QID217_Choice3,Algerije
QID217_Choice4,Andorra
QID217_Choice5,Angola
QID217_Choice6,Antigua en Barbuda
QID217_Choice7,Argentinië
QID217_Choice8,Armenië
QID217_Choice9,Australië
QID217_Choice10,Oostenrijk
QID217_Choice11,Azerbeidzjan
QID217_Choice12,Bahama’s
QID217_Choice13,Bahrein
